Author,Timestamp,Likes,Total_Replies,Comment_Content
@renegraider,16:26,0,0,@16:26 is he talking about andrew yang 👀
@cicero7409,1:20,0,0,"1:20. Jesus and Hitler. Even Caesar and the Russian royal family. We all love trump as much as the next guy, but that statement was disengenous."
@weareatrandom,35:50,0,0,35:50 that’s EXACTLY what happened. In NYS we don’t bother calling the cops anymore because they can’t do sh!t and even if they arrest someone the courts let them right back out.
@Sefcear,2:24:51,0,0,2:24:51
@Sefcear,2:17:13,0,0,2:17:13 hopeful
@Sefcear,2:15:24,1,0,2:15:24 lol!
@AForEh,2:06:55,1,0,2:06:55 did no one notice this? He forgot he almost got shot in the golf course. He’s lost it
@freemang8189,24:00,1,0,24:00
@bdouglas1124,2:30:40,5,1,2:30:40 makes a TON of sense now! USAID!!!! That’s where they were getting their money!!! They WERE getting their money from the federal government!!
@seraloui,1:25:38,7,0,"My highlights 1:25:38 ""Vladimir you're not going in"" 1:39:02 ""I have a red button also"""
@buff2492,1:41:40,0,0,"""Joe the Damage has already been done"" 1:41:40"
@buff2492,2:19:05,0,0,"2:19:05 Russia Russia Russia, it was the Russia Hoax. Fav part"
@samueli9162,10:15,0,0,10:15 thank you
@Caleb_Mandrake872,2:44:15,0,0,2:44:15 - JFK: Trump kept his word
@Caleb_Mandrake872,2:26:03,0,0,2:26:03 - I never knew this about Kamala
@rubberduckyconvoy2723,1:58:00,1,0,"1:58:00 Thank you, gentlemen. When we were kids, we ate healthy food. Now, to feed our kids healthy food, we have to drive over a couple of hours and shop at the Amish."
@CPhillips-s2w,2:02,0,0,2:02 “and baldness we don’t like baldness
@Cyclical-z3q,00:25:40,0,0,00:25:40
@JooBaacaa,18:42,0,0,18:42 WHO !!
@räbən,2:04:29,0,0,2:04:29 he is betrayed you • 2:04:40
@jeffarnett479,2:13:43,4,2,2:13:43 so crazy 10 years ago I considered my self a democrat the last 4 years that has completely changed
